State,crime_type,account
AZ,assaults,348572.0
AZ,homicides,7931.0
AZ,rapes,35954.0
AZ,robberies,190309.0
AZ,violent_crimes,582766.0
CA,assaults,2093002.0
CA,homicides,51317.0
CA,rapes,164424.0
CA,robberies,1681477.0
CA,violent_crimes,3990220.0
CO,assaults,138549.0
CO,homicides,3255.0
CO,rapes,22848.0
CO,robberies,82964.0
CO,violent_crimes,247616.0
DC,assaults,187757.0
DC,homicides,9889.0
DC,rapes,12195.0
DC,robberies,224096.0
DC,violent_crimes,433937.0
FL,assaults,879203.0
FL,homicides,16424.0
FL,rapes,61717.0
FL,robberies,551137.0
FL,violent_crimes,1503422.0
GA,assaults,234928.0
GA,homicides,6249.0
GA,rapes,17134.0
GA,robberies,170759.0
GA,violent_crimes,429070.0
HI,assaults,40373.0
HI,homicides,1210.0
HI,rapes,10093.0
HI,robberies,43096.0
HI,violent_crimes,94772.0
IL,assaults,951805.0
IL,homicides,27727.0
IL,rapes,90209.0
IL,robberies,891145.0
IL,violent_crimes,1960886.0
IN,assaults,150160.0
IN,homicides,3850.0
IN,rapes,18662.0
IN,robberies,106835.0
IN,violent_crimes,279507.0
KS,assaults,54158.0
KS,homicides,1098.0
KS,rapes,9011.0
KS,robberies,29231.0
KS,violent_crimes,93498.0
KY,assaults,26180.0
KY,homicides,772.0
KY,rapes,2587.0
KY,robberies,20877.0
KY,violent_crimes,50416.0
LA,assaults,111347.0
LA,homicides,9313.0
LA,rapes,12618.0
LA,robberies,137192.0
LA,violent_crimes,270470.0
MA,assaults,184646.0
MA,homicides,3043.0
MA,rapes,15843.0
MA,robberies,170604.0
MA,violent_crimes,374136.0
MD,assaults,574301.0
MD,homicides,15927.0
MD,rapes,43335.0
MD,robberies,503043.0
MD,violent_crimes,1136606.0
MI,assaults,420940.0
MI,homicides,19497.0
MI,rapes,40857.0
MI,robberies,436709.0
MI,violent_crimes,918003.0
MN,assaults,83265.0
MN,homicides,1831.0
MN,rapes,17725.0
MN,robberies,94426.0
MN,violent_crimes,197247.0
MO,assaults,388511.0
MO,homicides,11527.0
MO,rapes,28041.0
MO,robberies,263081.0
MO,violent_crimes,691160.0
NC,assaults,192627.0
NC,homicides,3464.0
NC,rapes,14262.0
NC,robberies,107977.0
NC,violent_crimes,318330.0
NE,assaults,73021.0
NE,homicides,1253.0
NE,rapes,7671.0
NE,robberies,32228.0
NE,violent_crimes,114173.0
NJ,assaults,109761.0
NJ,homicides,4007.0
NJ,rapes,10457.0
NJ,robberies,149529.0
NJ,violent_crimes,273754.0
NM,assaults,118638.0
NM,homicides,1722.0
NM,rapes,10737.0
NM,robberies,50085.0
NM,violent_crimes,181182.0
NV,assaults,151613.0
NV,homicides,4004.0
NV,rapes,19199.0
NV,robberies,130103.0
NV,violent_crimes,304919.0
NY,assaults,1943436.0
NY,homicides,51176.0
NY,rapes,117972.0
NY,robberies,2477520.0
NY,violent_crimes,4590104.0
OH,assaults,237203.0
OH,homicides,10896.0
OH,rapes,59615.0
OH,robberies,362881.0
OH,violent_crimes,670595.0
OK,assaults,216795.0
OK,homicides,4363.0
OK,rapes,27123.0
OK,robberies,94157.0
OK,violent_crimes,342438.0
OR,assaults,135936.0
OR,homicides,1395.0
OR,rapes,14167.0
OR,robberies,79667.0
OR,violent_crimes,231165.0
PA,assaults,361437.0
PA,homicides,16652.0
PA,rapes,44873.0
PA,robberies,498893.0
PA,violent_crimes,921855.0
TN,assaults,354925.0
TN,homicides,8816.0
TN,rapes,41747.0
TN,robberies,257795.0
TN,violent_crimes,663283.0
TX,assaults,1107664.0
TX,homicides,37799.0
TX,rapes,137803.0
TX,robberies,925951.0
TX,violent_crimes,2209217.0
UT,assaults,26097.0
UT,homicides,570.0
UT,rapes,5515.0
UT,robberies,20207.0
UT,violent_crimes,52389.0
VA,assaults,26241.0
VA,homicides,1271.0
VA,rapes,7835.0
VA,robberies,32794.0
VA,violent_crimes,68141.0
WA,assaults,107400.0
WA,homicides,1660.0
WA,rapes,11624.0
WA,robberies,83365.0
WA,violent_crimes,204049.0
WI,assaults,96876.0
WI,homicides,4053.0
WI,rapes,12579.0
WI,robberies,116542.0
WI,violent_crimes,230050.0
