Country,CCTV_Per_1000,Happiness_Score
Afghanistan,0.02,3.575
Angola,0.08,4.033
Argentina,1.62,6.574
Australia,14.19,7.284
Bangladesh,0.94,4.694
Brazil,7.05,6.983
Canada,4.12,7.427
Chile,0.44,6.67
China,1068.39,5.14
Colombia,1.31,6.477
Dominican Republic,0.4,4.885
Egypt,2.2,4.194
Ethiopia,0.03,4.512
France,3.84,6.575
Germany,6.25,6.75
Greece,3.44,4.857
Hong Kong,7.1,5.474
India,173.21,4.565
Indonesia,0.74,5.399
Iran,0.4,4.686
Iraq,16.39,4.677
Israel,1.01,7.278
Italy,3.95,5.948
Ivory Coast,0.19,3.655
Japan,2.83,5.987
Kenya,0.41,4.419
Madagascar,0.28,3.681
Malaysia,0.61,5.77
Mexico,15.030000000000001,7.187
Morocco,0.75,5.013
Myanmar,0.55,4.307
Nigeria,1.23,5.268
Pakistan,0.76,5.194
Paraguay,0.2,5.878
Peru,0.69,5.824
Philippines,0.22,5.073
Russia,26.400000000000002,5.716
Saudi Arabia,0.02,6.411
Senegal,0.15,3.904
Singapore,18.19,6.798
South Africa,3.92,4.642
South Korea,8.01,5.984
Spain,6.58,6.329
Sudan,0.67,4.55
Taiwan,7.89,6.298
Thailand,7.26,6.455
Turkey,7.34,5.332
Uganda,0.82,3.931
United States,15.85,7.119
Vietnam,5.180000000000001,5.36
