Country,# of CCTV Cameras,Crime Index,Happiness Score
Afghanistan,108,76.07,3.575
Angola,700,67.52,4.033
Argentina,24743,62.98,6.574
Australia,70995,38.95,7.284
Bangladesh,17052,63.875,4.694
Brazil,57397,70.703,6.983
Canada,23678,34.925,7.427
Chile,3000,56.1,6.67
China,8236029,24.0940625,5.14
Colombia,10311,57.5,6.477
Dominican Republic,1369,67.58,4.885
Egypt,46674,44.34,4.194
Ethiopia,140,47.66,4.512
France,42539,54.49,6.575
Germany,22289,41.49,6.75
Greece,10847,53.67,4.857
Hong Kong,53971,22.22,5.474
India,1544829,42.98866667,4.565
Indonesia,8042,44.72,5.399
Iran,2667,50.715,4.686
Iraq,120000,63.38,4.677
Israel,4291,26.35,7.278
Italy,13902,48.225,5.948
Ivory Coast,1024,55.12,3.655
Japan,70580,23.81333333,5.987
Kenya,2000,60.57,4.419
Madagascar,1000,61.19,3.681
Malaysia,5000,64.64,5.77
Mexico,134112,60.7775,7.187
Morocco,2850,55.46,5.013
Myanmar,2995,46.61,4.307
Nigeria,5050,56.4,5.268
Pakistan,10000,39.3,5.194
Paraguay,668,49,5.878
Peru,7547,69.98,5.824
Philippines,3086,64.69,5.073
Russia,259900,38.855,5.716
Saudi Arabia,150,26.99,6.411
Senegal,473,37.5,3.904
Singapore,108981,33.86,6.798
South Africa,21263,78.27333333,4.642
South Korea,78344,25.375,5.984
Spain,42330,37.975,6.329
Sudan,4010,33.81,4.55
Taiwan,35000,22.34,6.298
Thailand,77885,41.23,6.455
Turkey,110400,43.755,5.332
Uganda,2833,54.42,3.931
United States,93149,47.925,7.119
Vietnam,42213,45.88,5.36
